TimeElapsed,gpsLock,TimeLocal,Lat,Long,Alt,RoC,GndSpd,GndCrs,Acc,nSats,ExtTemp,BatTemp,IntTemp,Pres,PresAlt,PresRoC,BatVolt,BatCap,BatHeat,StateParachute,StateUpperCut,StateLowerCut
2.6,F,170002.5,0.00000,0.00000,0.00,-0.00,0.00,0.0,6495190.50,0,6.60,5.96,-8.03,94.44,592.81,0.00,4.07,94.21,0.00,Wait,Wait,Wait
3.1,F,170003.0,0.00000,0.00000,0.00,-0.00,0.00,0.0,6495190.50,0,6.60,5.89,-7.96,94.45,592.10,-1.14,4.07,94.31,0.00,Wait,Wait,Wait
3.6,F,170003.5,0.00000,0.00000,0.00,-0.00,0.00,0.0,6495190.50,0,6.59,5.83,-7.92,94.46,590.69,-1.57,4.07,94.20,0.00,Wait,Wait,Wait
4.1,F,170004.0,0.00000,0.00000,0.00,-0.00,0.00,0.0,6495190.50,0,6.59,5.77,-7.95,94.45,591.75,-0.64,4.08,94.79,0.00,Wait,Wait,Wait
4.6,F,170004.5,0.00000,0.00000,0.00,-0.00,0.00,0.0,6495190.50,0,6.58,5.73,-7.95,94.46,591.39,-0.66,4.07,94.67,0.00,Wait,Wait,Wait
5.1,F,170005.0,0.00000,0.00000,0.00,-0.00,0.00,0.0,6495190.50,0,6.58,5.68,-7.95,94.44,592.37,-0.01,4.07,94.55,0.00,Wait,Wait,Wait
5.6,F,170005.5,0.00000,0.00000,0.00,-0.00,0.00,0.0,6495190.50,0,6.58,5.65,-7.94,94.45,591.57,-0.41,4.07,94.18,0.00,Wait,Wait,Wait
6.1,F,170006.0,0.00000,0.00000,0.00,-0.00,0.00,0.0,6495190.50,0,6.57,5.61,-7.94,94.45,591.84,-0.17,4.07,94.18,0.00,Wait,Wait,Wait
6.6,F,170006.5,0.00000,0.00000,0.00,-0.00,0.00,0.0,6495190.50,0,6.57,5.58,-7.94,94.45,592.01,-0.04,4.08,94.79,0.00,Wait,Wait,Wait
7.1,F,170007.0,0.00000,0.00000,0.00,-0.00,0.00,0.0,6495190.50,0,6.57,5.55,-7.92,94.45,591.84,-0.12,4.08,94.91,0.00,Wait,Wait,Wait
7.6,F,170007.5,0.00000,0.00000,0.00,-0.00,0.00,0.0,6495190.50,0,6.57,5.53,-7.92,94.45,591.84,-0.09,4.07,94.18,0.00,Wait,Wait,Wait
8.1,F,170008.0,0.00000,0.00000,0.00,-0.00,0.00,0.0,6495190.50,0,6.57,5.51,-7.90,94.45,591.84,-0.07,4.07,94.67,0.00,Wait,Wait,Wait
8.6,F,170008.5,0.00000,0.00000,0.00,-0.00,0.00,0.0,6495190.50,0,6.57,5.49,-7.90,94.45,591.75,-0.09,4.07,94.18,0.00,Wait,Wait,Wait
