TimeElapsed,gpsLock,TimeLocal,Lat,Long,Alt,RoC,GndSpd,GndCrs,Acc,nSats,ExtTemp,BatTemp,IntTemp,Pres,PresAlt,PresRoC,BatVolt,BatCap,BatHeat,StateParachute,StateUpperCut,StateLowerCut
8.5,T,71542.0,4645.19189,-11818.50293,294.67,0.00,0.00,0.0,6.10,0,8.92,12.11,0.00,0.00,0.00,0.00,2.67,0.00,0.00,Wait,Wait,Wait
8.9,T,71543.0,4645.19141,-11818.50293,293.95,-0.08,0.06,0.0,5.05,19,8.88,11.94,15.69,97.87,293.05,0.00,4.16,100.00,0.00,Wait,Wait,Wait
9.4,T,71543.5,4645.19141,-11818.50293,294.21,-0.19,0.08,0.0,4.83,19,8.83,11.74,15.73,97.89,291.67,-0.87,4.16,100.00,0.00,Wait,Wait,Wait
9.9,T,71544.0,4645.19141,-11818.50293,294.69,-0.13,0.19,0.3,4.60,19,8.78,11.56,15.73,97.89,291.41,-0.79,4.15,99.92,0.00,Wait,Wait,Wait
10.4,T,71544.5,4645.19141,-11818.50293,294.69,-0.10,0.02,0.3,4.47,19,8.73,11.40,15.73,97.88,292.19,-0.21,4.16,100.00,0.00,Wait,Wait,Wait
10.9,T,71545.0,4645.19141,-11818.50293,294.77,-0.05,0.03,0.3,4.33,19,8.68,11.26,15.72,97.89,291.67,-0.41,4.16,100.00,0.00,Wait,Wait,Wait
11.4,T,71545.5,4645.19189,-11818.50293,294.83,-0.06,0.01,0.3,4.10,19,8.64,11.14,15.70,97.88,292.28,-0.01,4.16,100.00,0.00,Wait,Wait,Wait
11.9,T,71546.0,4645.19189,-11818.50293,294.64,-0.09,0.04,0.3,3.97,19,8.60,11.02,15.70,97.89,291.67,-0.31,4.15,99.93,0.00,Wait,Wait,Wait
12.4,T,71546.5,4645.19189,-11818.50293,294.62,-0.08,0.03,0.3,3.83,19,8.55,10.92,15.69,97.88,292.02,-0.07,4.16,100.00,0.00,Wait,Wait,Wait
12.9,T,71547.0,4645.19189,-11818.50293,294.38,-0.05,0.01,0.3,3.69,19,8.51,10.83,15.67,97.89,291.50,-0.31,4.15,99.87,0.00,Wait,Wait,Wait
13.4,T,71547.5,4645.19189,-11818.50195,294.47,0.00,0.04,0.3,3.55,18,8.48,10.75,15.66,97.89,291.50,-0.23,4.16,100.00,0.00,Wait,Wait,Wait
13.9,T,71548.0,4645.19189,-11818.50195,294.40,-0.02,0.03,0.3,3.47,18,8.44,10.67,15.65,97.89,291.24,-0.30,4.16,100.00,0.00,Wait,Wait,Wait
14.4,T,71548.5,4645.19189,-11818.50195,294.42,-0.03,0.04,0.3,3.33,18,8.41,10.61,15.63,97.89,291.93,0.12,4.16,100.00,0.00,Wait,Wait,Wait
14.9,T,71549.0,4645.19189,-11818.50195,294.34,-0.03,0.06,0.3,3.24,18,8.38,10.54,15.61,97.89,291.41,-0.17,4.15,99.93,0.00,Wait,Wait,Wait
15.4,T,71549.5,4645.19189,-11818.50195,294.33,-0.04,0.02,0.3,3.11,18,8.35,10.48,15.60,97.88,292.02,0.18,4.16,99.98,0.00,Wait,Wait,Wait
15.9,T,71550.0,4645.19238,-11818.50195,294.30,-0.06,0.02,0.3,3.11,18,8.32,10.43,15.59,97.89,291.50,-0.13,4.15,99.87,0.00,Wait,Wait,Wait
16.4,T,71550.5,4645.19238,-11818.50195,294.31,-0.02,0.02,0.3,3.02,18,8.29,10.38,15.57,97.89,291.50,-0.09,4.16,100.00,0.00,Wait,Wait,Wait
16.9,T,71551.0,4645.19238,-11818.50195,294.43,0.02,0.03,0.3,2.97,18,8.27,10.34,15.55,97.89,291.24,-0.20,4.16,100.00,0.00,Wait,Wait,Wait
17.4,T,71551.5,4645.19238,-11818.50195,294.52,0.05,0.03,0.3,2.97,18,8.24,10.30,15.55,97.89,291.33,-0.11,4.16,100.00,0.00,Wait,Wait,Wait
